,Precio (Euros/Mes),Habitaciones,Tamanyo (m2),Euros/m2
585,850,4 hab.,187,4.55
586,850,2 hab.,86,9.88
587,1000,3 hab.,100,10.0
588,750,2 hab.,65,11.54
589,750,1 hab.,45,16.67
590,800,3 hab.,95,8.42
591,650,2 hab.,78,8.33
592,1400,4 hab.,250,5.6
593,550,2 hab.,78,7.05
594,750,3 hab.,157,4.78
595,600,2 hab.,90,6.67
596,1000,3 hab.,130,7.69
597,2500,5 hab.,460,5.43
598,800,3 hab.,115,6.96
599,700,3 hab.,115,6.09
600,1100,4 hab.,120,9.17
601,1100,4 hab.,165,6.67
602,1500,2 hab.,132,11.36
603,950,3 hab.,128,7.42
604,500,3 hab.,75,6.67
605,850,4 hab.,120,7.08
606,900,4 hab.,170,5.29
607,850,2 hab.,86,9.88
608,500,3 hab.,109,4.59
609,900,3 hab.,88,10.23
610,800,3 hab.,127,6.3
611,500,3 hab.,85,5.88
612,800,4 hab.,119,6.72
613,550,1 hab.,50,11.0
614,800,2 hab.,70,11.43
615,590,1 hab.,50,11.8
616,480,2 hab.,60,8.0
617,800,3 hab.,115,6.96
618,1200,3 hab.,130,9.23
619,1000,3 hab.,105,9.52
620,950,3 hab.,130,7.31
621,650,3 hab.,96,6.77
622,700,3 hab.,100,7.0
623,650,2 hab.,68,9.56
624,900,3 hab.,115,7.83
625,750,2 hab.,101,7.43
626,600,2 hab.,73,8.22
627,1700,3 hab.,130,13.08
628,900,4 hab.,145,6.21
629,1300,2 hab.,270,4.81
630,700,1 hab.,59,11.86
631,1200,2 hab.,140,8.57
632,800,2 hab.,80,10.0
633,750,2 hab.,117,6.41
634,1950,5 hab.,300,6.5
635,1200,3 hab.,109,11.01
636,1200,3 hab.,109,11.01
637,1500,2 hab.,140,10.71
638,1150,4 hab.,150,7.67
639,2000,2 hab.,100,20.0
640,1200,1 hab.,75,16.0
641,1800,5 hab.,400,4.5
642,680,3 hab.,98,6.94
643,550,2 hab.,70,7.86
644,450,3 hab.,82,5.49
645,580,3 hab.,90,6.44
646,650,3 hab.,130,5.0
647,1200,3 hab.,143,8.39
648,600,2 hab.,70,8.57
649,800,4 hab.,90,8.89
650,3000,4 hab.,190,15.79
651,1800,5 hab.,270,6.67
652,1000,4 hab.,130,7.69
653,850,1 hab.,55,15.45
654,1000,4 hab.,130,7.69
655,600,1 hab.,50,12.0
656,1050,3 hab.,130,8.08
657,700,3 hab.,105,6.67
658,1200,3 hab.,170,7.06
659,625,3 hab.,70,8.93
660,780,2 hab.,95,8.21
661,950,4 hab.,160,5.94
662,1200,3 hab.,120,10.0
663,700,3 hab.,110,6.36
664,1100,3 hab.,120,9.17
665,750,4 hab.,120,6.25
666,700,1 hab.,50,14.0
667,750,2 hab.,105,7.14
668,480,,40,12.0
669,700,,55,12.73
670,550,2 hab.,85,6.47
671,700,3 hab.,94,7.45
672,1050,2 hab.,138,7.61
673,1000,4 hab.,135,7.41
674,1300,3 hab.,158,8.23
675,740,3 hab.,120,6.17
676,750,3 hab.,115,6.52
677,1200,3 hab.,130,9.23
678,2000,4 hab.,182,10.99
679,700,3 hab.,94,7.45
680,470,2 hab.,55,8.55
681,600,3 hab.,79,7.59
682,600,3 hab.,100,6.0
683,600,3 hab.,95,6.32
684,1000,4 hab.,160,6.25
685,800,3 hab.,104,7.69
686,600,2 hab.,80,7.5
687,800,3 hab.,112,7.14
688,600,1 hab.,50,12.0
689,1250,5 hab.,250,5.0
690,600,2 hab.,85,7.06
691,1000,3 hab.,130,7.69
692,700,3 hab.,90,7.78
693,850,4 hab.,120,7.08
694,450,3 hab.,90,5.0
695,1400,4 hab.,133,10.53
696,1500,4 hab.,250,6.0
697,850,3 hab.,118,7.2
698,575,1 hab.,35,16.43
699,550,3 hab.,70,7.86
700,650,3 hab.,97,6.7
701,700,4 hab.,115,6.09
702,700,3 hab.,120,5.83
703,1000,4 hab.,110,9.09
704,950,3 hab.,128,7.42
705,600,3 hab.,79,7.59
706,525,2 hab.,80,6.56
707,775,3 hab.,110,7.05
708,1800,4 hab.,250,7.2
709,500,1 hab.,50,10.0
710,1050,3 hab.,140,7.5
711,650,2 hab.,90,7.22
712,950,3 hab.,120,7.92
713,650,2 hab.,80,8.12
714,900,3 hab.,120,7.5
715,1300,3 hab.,110,11.82
716,800,1 hab.,66,12.12
717,800,3 hab.,90,8.89
718,650,3 hab.,87,7.47
719,875,3 hab.,119,7.35
720,650,1 hab.,75,8.67
721,600,3 hab.,90,6.67
722,600,4 hab.,102,5.88
723,725,3 hab.,90,8.06
724,850,3 hab.,95,8.95
725,675,2 hab.,70,9.64
726,560,1 hab.,55,10.18
727,580,2 hab.,78,7.44
728,680,3 hab.,90,7.56
729,1200,3 hab.,130,9.23
730,450,2 hab.,65,6.92
731,750,2 hab.,95,7.89
732,580,1 hab.,40,14.5
733,1700,3 hab.,120,14.17
734,700,3 hab.,120,5.83
735,750,2 hab.,75,10.0
736,750,2 hab.,85,8.82
737,550,3 hab.,67,8.21
738,900,3 hab.,144,6.25
739,750,3 hab.,85,8.82
740,650,1 hab.,60,10.83
741,700,2 hab.,102,6.86
742,1200,3 hab.,150,8.0
743,800,3 hab.,104,7.69
744,1200,3 hab.,150,8.0
745,650,1 hab.,65,10.0
746,750,3 hab.,90,8.33
747,800,2 hab.,75,10.67
748,750,3 hab.,95,7.89
749,1100,3 hab.,140,7.86
750,800,3 hab.,95,8.42
751,875,2 hab.,90,9.72
752,850,3 hab.,100,8.5
753,840,3 hab.,105,8.0
754,800,4 hab.,160,5.0
755,1200,2 hab.,90,13.33
756,1000,4 hab.,120,8.33
757,800,2 hab.,115,6.96
758,1000,4 hab.,160,6.25
759,975,3 hab.,140,6.96
760,875,3 hab.,110,7.95
761,1200,3 hab.,140,8.57
762,900,2 hab.,105,8.57
763,780,2 hab.,100,7.8
764,1200,3 hab.,107,11.21
765,600,3 hab.,85,7.06
766,400,,28,14.29
767,800,1 hab.,70,11.43
768,450,2 hab.,59,7.63
769,950,3 hab.,128,7.42
770,700,2 hab.,130,5.38
771,800,3 hab.,92,8.7
772,800,3 hab.,115,6.96
773,550,1 hab.,40,13.75
774,1250,2 hab.,106,11.79
775,800,2 hab.,98,8.16
776,600,3 hab.,120,5.0
777,800,3 hab.,95,8.42
778,850,2 hab.,85,10.0
779,990,3 hab.,287,3.45
780,550,3 hab.,120,4.58
781,1700,3 hab.,120,14.17
782,650,,80,8.12
783,500,3 hab.,110,4.55
784,500,3 hab.,90,5.56
785,800,3 hab.,100,8.0
786,550,1 hab.,75,7.33
787,1200,5 hab.,240,5.0
788,550,,40,13.75
789,700,3 hab.,79,8.86
790,600,3 hab.,106,5.66
791,1600,3 hab.,112,14.29
792,800,3 hab.,105,7.62
793,600,3 hab.,85,7.06
794,440,4 hab.,80,5.5
795,900,3 hab.,100,9.0
796,650,,55,11.82
797,700,3 hab.,100,7.0
798,1200,3 hab.,120,10.0
799,600,3 hab.,75,8.0
800,890,,120,7.42
801,900,2 hab.,84,10.71
802,750,3 hab.,114,6.58
803,850,2 hab.,93,9.14
804,850,3 hab.,118,7.2
805,650,4 hab.,105,6.19
806,800,3 hab.,100,8.0
807,750,3 hab.,125,6.0
808,700,3 hab.,90,7.78
809,1100,4 hab.,210,5.24
810,450,3 hab.,85,5.29
811,850,2 hab.,85,10.0
812,850,3 hab.,135,6.3
813,1100,2 hab.,100,11.0
814,700,2 hab.,90,7.78
815,825,3 hab.,120,6.88
816,650,3 hab.,100,6.5
817,650,1 hab.,65,10.0
818,800,3 hab.,120,6.67
819,530,,50,10.6
820,325,,49,6.63
821,850,2 hab.,90,9.44
822,700,2 hab.,112,6.25
823,495,1 hab.,60,8.25
824,1000,3 hab.,80,12.5
825,970,3 hab.,115,8.43
826,650,3 hab.,130,5.0
827,800,2 hab.,96,8.33
828,2500,4 hab.,300,8.33
829,650,3 hab.,110,5.91
830,1000,4 hab.,180,5.56
831,1200,3 hab.,150,8.0
832,1100,6 hab.,175,6.29
833,575,3 hab.,125,4.6
834,1100,4 hab.,180,6.11
835,650,3 hab.,95,6.84
836,780,3 hab.,95,8.21
837,600,4 hab.,120,5.0
838,3000,4 hab.,190,15.79
839,725,3 hab.,122,5.94
840,850,2 hab.,90,9.44
841,1500,4 hab.,260,5.77
842,1050,3 hab.,105,10.0
843,950,3 hab.,128,7.42
844,580,3 hab.,95,6.11
845,2000,2 hab.,100,20.0
846,500,3 hab.,70,7.14
847,550,1 hab.,70,7.86
848,1100,3 hab.,135,8.15
849,850,2 hab.,90,9.44
850,800,3 hab.,140,5.71
851,1850,4 hab.,173,10.69
